Estacões,Municipio,Local da coleta,26/12/2019,23/01/2020,30/01/2020,06/02/2020,13/02/2020,20/02/2020,27/02/2020,12/03/2020,19/03/2020
NF-01,Nisia Floresta,Tabatinga,2,2,70,23,11,23,5,33,2
NF-02,Nisia Floresta,Buzios (Rio Doce),5,40,40,13,11,27,2,58,13
NF-03,Nisia Floresta,Buzios (Barracas),8,23,8,3,2,49,2,210,23
NF-04,Nisia Floresta,Pirangi do Sul (Igreja),5,48,150,3500,140,920,79,170,350
NF-05,Nisia Floresta,Foz do Rio Pirangi,540,920,3500,5400,1600,3500,540,920,49
NF-06,Nisia Floresta,Lagoa de Arituba,49,13,540,23,23,92,23,920,79
PA-01,Parnamirim,Rio Pium (Ponte Nova),920,240,350,240,350,2400,5400,1600,1600
PA-02,Parnamirim,Pirangi do Norte (APURN),63,1600,49,540,79,130,350,23,540
PA-03,Parnamirim,Pirangi  do Norte (Coqueiros),84,23,33,1600,33,110,350,70,280
PA-04,Parnamirim,Cotovelo (Barramares),2,33,8,2,33,46,23,31,49
PA-05,Parnamirim,Rio Pium (Balneario Pium),1600,130,240,130,350,1100,1600,1600,920
NA-01,Natal,Pta. Negra (Morro do Careca),23,70,7,11,2400,46,70,170,2
NA-02,Natal,Pta. Negra (Acesso principal),49,33,49,2,240,220,5,3500,350
NA-03,Natal,Pta. Negra (Free Willy),11,33,2,23,350,1600,2,3500,23
NA-04,Natal,Pta. Negra (Final do Calcadao),2,2,84,2,3500,9200,2,110,46
NA-05,Natal,Via Costeira (Cacimba do Boi),8,2,6,430,1600,2400,130,3500,2
NA-06,Natal,Via Costeira (Barreira D’agua),2,23,430,2,110,350,23,49,2
NA-07,Natal,Mae Luiza,13,2,2,5,79,350,33,350,23
NA-08,Natal,Miami (Relógio Solar),2,5,5,49,350,73,23,2400,540
NA-09,Natal,Areia Preta (Praca da Jangada),13,2,2,13,3500,2400,5,35000,540
NA-10,Natal,Artistas/ (Centro de Artesanato),240,23,3500,7,8,8,21,63,130
NA-11,Natal,Meio (Iemanja),33,2,2,2,3500,2200,170,170,240
NA-12,Natal,Forte,2,5,2,41,1600,1300,920,16000,11
NA-13,Natal,Redinha (Rio Potengi),240,350,540,3500,1400,2400,130,2100,540
NA-14,Natal,Redinha (Igreja),17,23,79,21,79,350,49,79,11
NA-15,Natal,Redinha (Barracas),8,13,5,5,1600,220,33,79,2
EX-01,Extremoz,Redinha Nova (Espigao),2,2,17,2,49,49,8,23,170
EX-02,Extremoz,Redinha Nova (Tombolo),2,2,2,2,79,350,11,170,5
EX-03,Extremoz,Genipabu (Barracas),13,8,2,33,23,13,5,23,49
EX-04,Extremoz,Barra do Rio (Cata-vento),5,170,49,79,23,23,8,33,350
EX-05,Extremoz,Gracandu (Barracas),2,33,7,23,13,49,2,70,920
EX-06,Extremoz,Pitangui,2,5,5,13,240,33,33,540,12
EX-07,Extremoz,Lagoa de Pitangui,70,70,7,49,240,49,110,3500,23
